Caller_Number,Receiver_Number,DateTime,Call_Duration_Sec,Cell_Tower_ID,Tower_Lat,Tower_Lon
9876543210,9123456780,2026-09-02 08:30:15,85,BLR-TOW-101,12.9784,77.6408
9988776655,9876543210,2026-09-02 09:45:20,140,BLR-TOW-104,12.974,77.608
9876543210,9123456780,2026-09-02 11:15:00,45,BLR-TOW-202,12.972,77.594
9876543210,9811223344,2026-09-02 12:05:30,210,BLR-TOW-203,12.9705,77.5932
9444332211,9555667788,2026-09-02 12:10:12,30,BLR-TOW-202,12.972,77.594
9123456780,9876543210,2026-09-02 13:40:00,95,BLR-TOW-305,12.961,77.601
9876543210,9123456780,2026-09-02 14:15:22,160,BLR-TOW-305,12.961,77.601
9876543210,9988776655,2026-09-02 15:30:10,50,BLR-TOW-410,12.952,77.615
9876543210,9811223344,2026-09-02 16:20:00,75,BLR-TOW-412,12.948,77.62
9765432109,9876543210,2026-09-02 17:05:40,115,BLR-TOW-501,12.935,77.625
9876543210,9654321098,2026-09-02 18:00:15,60,BLR-TOW-508,12.928,77.632
9876543210,9123456780,2026-09-02 19:10:00,180,BLR-TOW-508,12.928,77.632
9988776655,9876543210,2026-09-02 20:30:45,40,BLR-TOW-601,12.918,77.645
9111111111,9222222222,2026-09-02 11:30:00,120,BLR-TOW-900,13.0358,77.597
9333333333,9444444444,2026-09-02 12:45:00,90,BLR-TOW-901,13.01,77.55
